symbol,confidence,price,type,last_signal,first_seen,last_updated,status
NHPC,86.77,309.27,STRONG,BREAKOUT,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
SOHL,86.1,807.44,STRONG,BREAKOUT,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
HFIN,86.26,1153.71,STRONG,BREAKOUT,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
NGPL,81.43,441.35,STRONG,BREAKOUT,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
CORBL,92.34,2120.38,STRONG,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
SKHL,89.25,1097.96,STRONG,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
NIFRA,81.72,265.17,STRONG,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
API,75.22,337.82,SPECULATIVE,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
HRL,72.43,679.84,SPECULATIVE,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
SKHEL,86.19,1550.04,STRONG,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
JBBL,77.33,363.39,SPECULATIVE,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
KBL,70.88,221.58,SPECULATIVE,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
RLEL,83.32,1304.31,STRONG,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
AKJCL,65.44,390.25,SPECULATIVE,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
SAIL,83.81,1172.75,STRONG,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
AHPC,71.71,276.71,SPECULATIVE,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
SSHL,67.76,218.54,SPECULATIVE,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
BHL,66.94,219.14,SPECULATIVE,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
HIDCLP,68.51,203.27,SPECULATIVE,ACCUMULATION,2026-04-25 15:09:36,2026-04-25 15:09:36,ACTIVE
